observation_date,number_found,common_name,running_total_per_species,running_total_all
2014-07-01,200.0,Knotweed (species unknown),5350.0,265358.0
2014-07-01,50.0,Knotweed (species unknown),5400.0,265408.0
2014-07-01,100.0,Knotweed (species unknown),5500.0,265508.0
2014-07-01,200.0,Knotweed (species unknown),5700.0,265708.0
2014-07-01,300.0,Knotweed (species unknown),6000.0,266008.0
2014-08-01,,Knotweed (species unknown),,
2014-08-01,30.0,Purple Loosestrife,1850.0,266038.0
2014-09-01,20.0,"Tree-of-heaven, Ailanthus",858.0,266058.0
2014-09-01,300.0,Knotweed (species unknown),6300.0,266358.0
2014-09-01,10.0,"Tree-of-heaven, Ailanthus",868.0,266368.0
2014-09-01,30.0,"Tree-of-heaven, Ailanthus",898.0,266398.0
2014-09-01,30.0,"Tree-of-heaven, Ailanthus",928.0,266428.0
2014-09-01,6.0,"Tree-of-heaven, Ailanthus",934.0,266434.0
2014-09-01,30.0,"Tree-of-heaven, Ailanthus",964.0,266464.0
2014-09-01,20.0,"Tree-of-heaven, Ailanthus",984.0,266484.0
2014-09-01,30.0,"Tree-of-heaven, Ailanthus",1014.0,266514.0
2014-09-01,,"Tree-of-heaven, Ailanthus",,
2014-09-01,10.0,"Tree-of-heaven, Ailanthus",1024.0,266524.0
2014-09-01,10.0,"Tree-of-heaven, Ailanthus",1034.0,266534.0
2014-09-01,20.0,"Tree-of-heaven, Ailanthus",1054.0,266554.0
2014-09-01,3.0,"Tree-of-heaven, Ailanthus",1057.0,266557.0
2014-09-01,15.0,"Tree-of-heaven, Ailanthus",1072.0,266572.0
2014-09-01,20.0,"Tree-of-heaven, Ailanthus",1092.0,266592.0
2014-09-01,5.0,"Tree-of-heaven, Ailanthus",1097.0,266597.0
2014-09-01,30.0,"Tree-of-heaven, Ailanthus",1127.0,266627.0
2014-10-01,1000.0,"Common reed grass, phragmites",258350.0,267627.0
2015-01-31,10000.0,"Common reed grass, phragmites",268350.0,277627.0
2015-06-01,1000.0,"Common reed grass, phragmites",269350.0,278627.0
2015-08-01,1000.0,Knotweed (species unknown),7300.0,279627.0
2015-08-01,10.0,"Tree-of-heaven, Ailanthus",1137.0,279637.0
2015-09-01,1000.0,Knotweed (species unknown),8300.0,280637.0
2015-09-01,50.0,"Tree-of-heaven, Ailanthus",1187.0,280687.0
2015-09-01,100.0,Knotweed (species unknown),8400.0,280787.0
2015-09-01,10000.0,"Common reed grass, phragmites",279350.0,290787.0
2015-09-01,1000.0,"Common reed grass, phragmites",280350.0,291787.0
2015-09-01,30.0,"Tree-of-heaven, Ailanthus",1217.0,291817.0
2015-09-01,100.0,Knotweed (species unknown),8500.0,291917.0
2015-09-01,500.0,"Common reed grass, phragmites",280850.0,292417.0
2015-10-01,3.0,"Tree-of-heaven, Ailanthus",1220.0,292420.0
2015-10-01,2000.0,"Common reed grass, phragmites",282850.0,294420.0
2015-10-01,1000.0,"Common reed grass, phragmites",283850.0,295420.0
2015-10-09,2000.0,"Common reed grass, phragmites",285850.0,297420.0
2015-11-01,10000.0,"Common reed grass, phragmites",295850.0,307420.0
2015-11-01,2000.0,"Common reed grass, phragmites",297850.0,309420.0
2015-11-01,2000.0,"Common reed grass, phragmites",299850.0,311420.0
2015-11-30,1000.0,"Common reed grass, phragmites",300850.0,312420.0
2015-11-30,100000.0,"Common reed grass, phragmites",400850.0,412420.0
2015-11-30,500.0,"Common reed grass, phragmites",401350.0,412920.0
2015-11-30,300.0,"Common reed grass, phragmites",401650.0,413220.0
2015-11-30,400.0,"Common reed grass, phragmites",402050.0,413620.0
2015-11-30,10000.0,"Common reed grass, phragmites",412050.0,423620.0
2016-04-06,,"Common reed grass, phragmites",,
2016-08-01,300.0,"Common reed grass, phragmites",412350.0,423920.0
2016-08-01,6.0,"Tree-of-heaven, Ailanthus",1226.0,423926.0
2016-08-01,5.0,"Tree-of-heaven, Ailanthus",1231.0,423931.0
2016-08-01,10.0,"Tree-of-heaven, Ailanthus",1241.0,423941.0
2016-08-01,50.0,"Tree-of-heaven, Ailanthus",1291.0,423991.0
2016-08-01,30.0,"Tree-of-heaven, Ailanthus",1321.0,424021.0
2016-08-01,10000.0,Knotweed (species unknown),18500.0,434021.0
2016-09-01,10.0,"Tree-of-heaven, Ailanthus",1331.0,434031.0
2016-09-01,30.0,"Tree-of-heaven, Ailanthus",1361.0,434061.0
2016-09-01,200.0,Knotweed (species unknown),18700.0,434261.0
2016-09-01,1000.0,Knotweed (species unknown),19700.0,435261.0
2016-10-01,400.0,"Common reed grass, phragmites",412750.0,435661.0
2016-11-01,200.0,Knotweed (species unknown),19900.0,435861.0
2017-07-01,500.0,Knotweed (species unknown),20400.0,436361.0
2017-07-01,,"Tree-of-heaven, Ailanthus",,
2017-07-01,10000.0,"Common reed grass, phragmites",422750.0,446361.0
2017-07-01,500.0,"Common reed grass, phragmites",423250.0,446861.0
2017-07-01,300.0,"Common reed grass, phragmites",423550.0,447161.0
2017-07-01,300.0,"Common reed grass, phragmites",423850.0,447461.0
2017-07-01,10000.0,"Common reed grass, phragmites",433850.0,457461.0
2017-07-01,4.0,"Tree-of-heaven, Ailanthus",1365.0,457465.0
2017-07-01,50.0,"Tree-of-heaven, Ailanthus",1415.0,457515.0
2017-07-01,1000.0,"Common reed grass, phragmites",434850.0,458515.0
2017-08-01,300.0,Knotweed (species unknown),20700.0,458815.0
2017-08-01,1000.0,"Common reed grass, phragmites",435850.0,459815.0
2017-08-27,,Asian Clam,,
2017-09-01,200.0,"Common reed grass, phragmites",436050.0,460015.0
2017-09-01,15.0,"Tree-of-heaven, Ailanthus",1430.0,460030.0
2017-09-01,400.0,Knotweed (species unknown),21100.0,460430.0
2017-09-01,100.0,"Common reed grass, phragmites",436150.0,460530.0
2017-09-01,16.0,"Tree-of-heaven, Ailanthus",1446.0,460546.0
2017-09-01,300.0,"Common reed grass, phragmites",436450.0,460846.0
2017-09-01,20.0,"Tree-of-heaven, Ailanthus",1466.0,460866.0
2017-09-01,20.0,"Tree-of-heaven, Ailanthus",1486.0,460886.0
2017-09-01,15.0,"Tree-of-heaven, Ailanthus",1501.0,460901.0
2017-10-01,,Knotweed (species unknown),,
2017-10-01,10.0,"Tree-of-heaven, Ailanthus",1511.0,460911.0
2018-05-01,10.0,"Tree-of-heaven, Ailanthus",1521.0,460921.0
2018-06-01,300.0,Knotweed (species unknown),21400.0,461221.0
2018-06-01,10.0,"Tree-of-heaven, Ailanthus",1531.0,461231.0
2018-06-01,20.0,"Tree-of-heaven, Ailanthus",1551.0,461251.0
2018-07-01,50.0,"Tree-of-heaven, Ailanthus",1601.0,461301.0
2018-07-01,30.0,"Tree-of-heaven, Ailanthus",1631.0,461331.0
2018-07-01,2.0,"Tree-of-heaven, Ailanthus",1633.0,461333.0
2018-07-01,20.0,"Tree-of-heaven, Ailanthus",1653.0,461353.0
2018-07-01,20.0,"Tree-of-heaven, Ailanthus",1673.0,461373.0
2018-07-01,30.0,"Tree-of-heaven, Ailanthus",1703.0,461403.0
2018-07-01,20.0,"Tree-of-heaven, Ailanthus",1723.0,461423.0
2018-07-01,2000.0,Knotweed (species unknown),23400.0,463423.0
2018-07-01,1000.0,"Common reed grass, phragmites",437450.0,464423.0
2018-07-01,,"Tree-of-heaven, Ailanthus",,
2018-07-01,30.0,Knotweed (species unknown),23430.0,464453.0
2018-07-01,20.0,"Tree-of-heaven, Ailanthus",1743.0,464473.0
2018-07-01,200.0,"Common reed grass, phragmites",437650.0,464673.0
2018-07-01,10.0,"Tree-of-heaven, Ailanthus",1753.0,464683.0
2018-07-01,30.0,"Tree-of-heaven, Ailanthus",1783.0,464713.0
2018-07-01,500.0,"Common reed grass, phragmites",438150.0,465213.0
2018-07-01,200.0,"Common reed grass, phragmites",438350.0,465413.0
2018-07-01,10.0,"Tree-of-heaven, Ailanthus",1793.0,465423.0
2018-08-01,100.0,"Common reed grass, phragmites",438450.0,465523.0
2018-08-01,10000.0,"Common reed grass, phragmites",448450.0,475523.0
2018-08-01,50.0,"Tree-of-heaven, Ailanthus",1843.0,475573.0
2018-08-01,200.0,Knotweed (species unknown),23630.0,475773.0
2018-08-01,10000.0,"Common reed grass, phragmites",458450.0,485773.0
2018-08-01,10.0,"Tree-of-heaven, Ailanthus",1853.0,485783.0
2018-08-01,60.0,Purple Loosestrife,1910.0,485843.0
2018-08-01,10.0,"Tree-of-heaven, Ailanthus",1863.0,485853.0
2018-08-01,30.0,"Tree-of-heaven, Ailanthus",1893.0,485883.0
2018-08-01,50.0,"Tree-of-heaven, Ailanthus",1943.0,485933.0
2018-08-01,10000.0,Knotweed (species unknown),33630.0,495933.0
2018-08-01,30.0,Purple Loosestrife,1940.0,495963.0
2018-08-01,6.0,"Tree-of-heaven, Ailanthus",1949.0,495969.0
2018-08-01,1000.0,Knotweed (species unknown),34630.0,496969.0
2018-08-01,50.0,Knotweed (species unknown),34680.0,497019.0
2018-08-01,20.0,"Tree-of-heaven, Ailanthus",1969.0,497039.0
2018-08-01,30.0,"Tree-of-heaven, Ailanthus",1999.0,497069.0
2018-08-01,1000.0,Knotweed (species unknown),35680.0,498069.0
2018-08-01,300.0,"Common reed grass, phragmites",458750.0,498369.0
2018-08-01,,"Common reed grass, phragmites",,
2018-08-01,200.0,Knotweed (species unknown),35880.0,498569.0
2018-08-01,10000.0,"Common reed grass, phragmites",468750.0,508569.0
2018-08-01,1000.0,"Common reed grass, phragmites",469750.0,509569.0
2018-08-01,200.0,"Common reed grass, phragmites",469950.0,509769.0
2018-08-01,,"Common reed grass, phragmites",,
2018-08-01,50.0,Purple Loosestrife,1990.0,509819.0
2018-08-01,10.0,"Tree-of-heaven, Ailanthus",2009.0,509829.0
2018-08-01,50.0,Knotweed (species unknown),35930.0,509879.0
2018-08-01,1000.0,"Common reed grass, phragmites",470950.0,510879.0
2018-08-01,500.0,"Common reed grass, phragmites",471450.0,511379.0
2018-08-01,40.0,Purple Loosestrife,2030.0,511419.0
2018-08-01,300.0,Knotweed (species unknown),36230.0,511719.0
2018-08-01,1000.0,Knotweed (species unknown),37230.0,512719.0
2018-08-01,1000.0,"Common reed grass, phragmites",472450.0,513719.0
2018-08-01,50.0,Purple Loosestrife,2080.0,513769.0
2018-08-01,200.0,"Common reed grass, phragmites",472650.0,513969.0
2018-08-01,15.0,"Tree-of-heaven, Ailanthus",2024.0,513984.0
2018-08-01,50.0,"Tree-of-heaven, Ailanthus",2074.0,514034.0
2018-08-01,1000.0,"Common reed grass, phragmites",473650.0,515034.0
2018-08-01,200.0,Knotweed (species unknown),37430.0,515234.0
2018-08-01,30.0,"Tree-of-heaven, Ailanthus",2104.0,515264.0
2018-08-01,500.0,"Common reed grass, phragmites",474150.0,515764.0
2018-08-01,200.0,"Common reed grass, phragmites",474350.0,515964.0
2018-08-01,70.0,Purple Loosestrife,2150.0,516034.0
2018-08-01,1000.0,"Common reed grass, phragmites",475350.0,517034.0
2018-08-01,,Knotweed (species unknown),,
2018-08-01,300.0,"Common reed grass, phragmites",475650.0,517334.0
2018-09-01,10000.0,"Common reed grass, phragmites",485650.0,527334.0
2018-09-01,1000.0,"Common reed grass, phragmites",486650.0,528334.0
2018-09-01,200.0,Knotweed (species unknown),37630.0,528534.0
2018-09-01,100.0,Knotweed (species unknown),37730.0,528634.0
2018-09-01,30.0,"Tree-of-heaven, Ailanthus",2134.0,528664.0
2018-09-01,3000.0,"Common reed grass, phragmites",489650.0,531664.0
2018-09-01,1000.0,Knotweed (species unknown),38730.0,532664.0
2018-09-01,50.0,Knotweed (species unknown),38780.0,532714.0
2018-09-01,1000.0,"Common reed grass, phragmites",490650.0,533714.0
2018-09-01,500.0,Knotweed (species unknown),39280.0,534214.0
2018-09-01,100.0,Knotweed (species unknown),39380.0,534314.0
2018-09-01,30.0,"Tree-of-heaven, Ailanthus",2164.0,534344.0
2018-09-01,100.0,Knotweed (species unknown),39480.0,534444.0
2018-09-01,10.0,"Tree-of-heaven, Ailanthus",2174.0,534454.0
2018-09-01,400.0,Knotweed (species unknown),39880.0,534854.0
2018-09-01,30.0,"Tree-of-heaven, Ailanthus",2204.0,534884.0
2018-09-01,1000.0,Knotweed (species unknown),40880.0,535884.0
2018-09-01,1000.0,Knotweed (species unknown),41880.0,536884.0
2018-09-01,10.0,"Tree-of-heaven, Ailanthus",2214.0,536894.0
2018-09-01,100.0,Knotweed (species unknown),41980.0,536994.0
2018-09-01,40.0,Knotweed (species unknown),42020.0,537034.0
2018-09-01,15.0,"Tree-of-heaven, Ailanthus",2229.0,537049.0
2018-09-01,300.0,Knotweed (species unknown),42320.0,537349.0
2018-09-01,20.0,"Tree-of-heaven, Ailanthus",2249.0,537369.0
2018-09-01,1000.0,Knotweed (species unknown),43320.0,538369.0
2018-09-01,1000.0,Knotweed (species unknown),44320.0,539369.0
2018-09-01,400.0,"Common reed grass, phragmites",491050.0,539769.0
2018-10-01,5000.0,"Common reed grass, phragmites",496050.0,544769.0
2018-10-01,10000.0,"Common reed grass, phragmites",506050.0,554769.0
2018-10-01,10000000.0,"Common reed grass, phragmites",10506050.0,10554769.0
2018-10-01,10000.0,"Common reed grass, phragmites",10516050.0,10564769.0
2018-10-01,100.0,"Tree-of-heaven, Ailanthus",2349.0,10564869.0
2018-10-01,100000.0,"Common reed grass, phragmites",10616050.0,10664869.0
2018-10-01,2000.0,"Common reed grass, phragmites",10618050.0,10666869.0
2018-10-01,300.0,Knotweed (species unknown),44620.0,10667169.0
2018-10-01,10000.0,Knotweed (species unknown),54620.0,10677169.0
2018-10-01,10000000.0,"Common reed grass, phragmites",20618050.0,20677169.0
2018-10-01,1000.0,"Common reed grass, phragmites",20619050.0,20678169.0
2018-10-01,10000.0,"Common reed grass, phragmites",20629050.0,20688169.0
2018-10-01,1000000.0,"Common reed grass, phragmites",21629050.0,21688169.0
2018-10-01,1000.0,"Common reed grass, phragmites",21630050.0,21689169.0
2018-10-01,1000.0,"Common reed grass, phragmites",21631050.0,21690169.0
2018-10-01,1000.0,"Common reed grass, phragmites",21632050.0,21691169.0
2018-10-01,1000.0,Knotweed (species unknown),55620.0,21692169.0
2018-10-01,300.0,"Common reed grass, phragmites",21632350.0,21692469.0
2018-10-01,300.0,"Common reed grass, phragmites",21632650.0,21692769.0
2018-10-01,1000.0,"Common reed grass, phragmites",21633650.0,21693769.0
2018-10-01,20.0,"Tree-of-heaven, Ailanthus",2369.0,21693789.0
2018-10-01,1000000.0,"Common reed grass, phragmites",22633650.0,22693789.0
2018-10-01,1000.0,"Common reed grass, phragmites",22634650.0,22694789.0
2018-10-01,1000.0,"Common reed grass, phragmites",22635650.0,22695789.0
2018-10-01,100.0,"Common reed grass, phragmites",22635750.0,22695889.0
2018-10-01,10000.0,"Common reed grass, phragmites",22645750.0,22705889.0
2018-10-01,10000.0,"Common reed grass, phragmites",22655750.0,22715889.0
2018-11-01,10000.0,"Common reed grass, phragmites",22665750.0,22725889.0
2018-11-01,10000.0,"Common reed grass, phragmites",22675750.0,22735889.0
2019-01-07,5.0,"Tree-of-heaven, Ailanthus",2374.0,22735894.0
2019-05-31,,Common Buckthorn,,
2019-05-31,,Common Buckthorn,,
2019-05-31,,Common Buckthorn,,
2019-06-01,200.0,"Common reed grass, phragmites",22675950.0,22736094.0
2019-06-04,,Poison-hemlock,,
2019-06-24,,St. Johnswort,,
2019-06-24,,Crown Vetch,,
2019-06-24,,Greater Celandine,,
2019-06-24,,"Climbing Nightshade, Bittersweet Nightshade",,
2019-06-24,,"Canada Thistle, Creeping Thistle",,
2019-06-24,,Garlic Mustard,,
2019-06-24,,Fullers Teasel,,
2019-06-24,12.0,"Tree-of-heaven, Ailanthus",2386.0,22736106.0
2019-06-24,13.0,Plume Poppy,13.0,22736119.0
2019-06-24,,Dame's Rocket,,
2019-07-01,1000.0,"Common reed grass, phragmites",22676950.0,22737119.0
2019-07-01,10000.0,"Common reed grass, phragmites",22686950.0,22747119.0
2019-07-01,2000.0,"Common reed grass, phragmites",22688950.0,22749119.0
2019-07-01,100.0,"Common reed grass, phragmites",22689050.0,22749219.0
2019-07-01,30.0,"Tree-of-heaven, Ailanthus",2416.0,22749249.0
2019-07-01,500.0,Knotweed (species unknown),56120.0,22749749.0
2019-07-01,5000.0,"Common reed grass, phragmites",22694050.0,22754749.0
2019-07-01,10000.0,"Common reed grass, phragmites",22704050.0,22764749.0
2019-07-01,1000.0,"Common reed grass, phragmites",22705050.0,22765749.0
2019-07-01,10000.0,"Common reed grass, phragmites",22715050.0,22775749.0
2019-07-01,300.0,"Common reed grass, phragmites",22715350.0,22776049.0
2019-07-01,1000.0,"Common reed grass, phragmites",22716350.0,22777049.0
2019-07-01,10.0,"Tree-of-heaven, Ailanthus",2426.0,22777059.0
2019-07-01,10.0,"Tree-of-heaven, Ailanthus",2436.0,22777069.0
2019-07-01,200.0,"Common reed grass, phragmites",22716550.0,22777269.0
2019-07-01,2000.0,"Common reed grass, phragmites",22718550.0,22779269.0
2019-07-01,10000.0,"Common reed grass, phragmites",22728550.0,22789269.0
2019-07-01,20000.0,"Common reed grass, phragmites",22748550.0,22809269.0
2019-07-01,1000.0,"Common reed grass, phragmites",22749550.0,22810269.0
2019-07-01,2000.0,"Common reed grass, phragmites",22751550.0,22812269.0
2019-07-01,10000.0,"Common reed grass, phragmites",22761550.0,22822269.0
2019-07-01,10000.0,"Common reed grass, phragmites",22771550.0,22832269.0
2019-07-01,1000.0,"Common reed grass, phragmites",22772550.0,22833269.0
2019-07-01,1000.0,"Common reed grass, phragmites",22773550.0,22834269.0
2019-07-01,500.0,"Common reed grass, phragmites",22774050.0,22834769.0
2019-07-01,10000.0,"Common reed grass, phragmites",22784050.0,22844769.0
2019-07-01,10000.0,"Common reed grass, phragmites",22794050.0,22854769.0
2019-07-01,10000.0,"Common reed grass, phragmites",22804050.0,22864769.0
2019-07-01,100.0,"Tree-of-heaven, Ailanthus",2536.0,22864869.0
2019-07-01,1000.0,Knotweed (species unknown),57120.0,22865869.0
2019-07-01,1000.0,"Common reed grass, phragmites",22805050.0,22866869.0
2019-07-01,1000.0,Knotweed (species unknown),58120.0,22867869.0
2019-07-01,60.0,"Tree-of-heaven, Ailanthus",2596.0,22867929.0
2019-07-01,10000.0,"Common reed grass, phragmites",22815050.0,22877929.0
2019-07-01,1000.0,Knotweed (species unknown),59120.0,22878929.0
2019-07-01,10000.0,"Common reed grass, phragmites",22825050.0,22888929.0
2019-07-01,300.0,"Common reed grass, phragmites",22825350.0,22889229.0
2019-07-01,500.0,Knotweed (species unknown),59620.0,22889729.0
2019-07-01,1000.0,"Common reed grass, phragmites",22826350.0,22890729.0
2019-07-01,10000.0,"Common reed grass, phragmites",22836350.0,22900729.0
2019-07-01,500.0,"Common reed grass, phragmites",22836850.0,22901229.0
2019-07-01,20.0,"Tree-of-heaven, Ailanthus",2616.0,22901249.0
2019-07-01,500.0,"Common reed grass, phragmites",22837350.0,22901749.0
2019-07-01,100000.0,"Common reed grass, phragmites",22937350.0,23001749.0
2019-07-01,500.0,Knotweed (species unknown),60120.0,23002249.0
2019-07-01,10000.0,"Common reed grass, phragmites",22947350.0,23012249.0
2019-07-01,500.0,Knotweed (species unknown),60620.0,23012749.0
2019-07-01,1000000.0,"Common reed grass, phragmites",23947350.0,24012749.0
2019-07-01,300.0,"Common reed grass, phragmites",23947650.0,24013049.0
2019-07-01,10000.0,"Common reed grass, phragmites",23957650.0,24023049.0
2019-07-01,500.0,"Common reed grass, phragmites",23958150.0,24023549.0
2019-07-01,200.0,"Common reed grass, phragmites",23958350.0,24023749.0
2019-07-01,1000.0,"Common reed grass, phragmites",23959350.0,24024749.0
2019-07-01,100.0,"Common reed grass, phragmites",23959450.0,24024849.0
2019-07-01,30.0,"Tree-of-heaven, Ailanthus",2646.0,24024879.0
2019-07-01,5000.0,"Common reed grass, phragmites",23964450.0,24029879.0
2019-07-01,2000.0,"Common reed grass, phragmites",23966450.0,24031879.0
2019-07-01,2000.0,"Common reed grass, phragmites",23968450.0,24033879.0
2019-07-01,500.0,"Common reed grass, phragmites",23968950.0,24034379.0
2019-07-01,2000.0,"Common reed grass, phragmites",23970950.0,24036379.0
2019-07-16,,"Japanese Knotweed, Japanese Bamboo",,
2019-07-18,,Oriental Bittersweet,,
2019-07-18,,Oriental Bittersweet,,
2019-08-01,100000.0,"Common reed grass, phragmites",24070950.0,24136379.0
2019-08-01,1000.0,"Common reed grass, phragmites",24071950.0,24137379.0
2019-08-01,1000000.0,"Common reed grass, phragmites",25071950.0,25137379.0
2019-08-01,10000.0,"Common reed grass, phragmites",25081950.0,25147379.0
2019-08-01,50.0,Purple Loosestrife,2200.0,25147429.0
2019-08-01,100.0,"Common reed grass, phragmites",25082050.0,25147529.0
2019-08-01,40.0,"Tree-of-heaven, Ailanthus",2686.0,25147569.0
2019-08-01,10000.0,"Common reed grass, phragmites",25092050.0,25157569.0
2019-08-01,50.0,Purple Loosestrife,2250.0,25157619.0
2019-08-01,1000.0,"Common reed grass, phragmites",25093050.0,25158619.0
2019-08-01,1000.0,"Common reed grass, phragmites",25094050.0,25159619.0
2019-08-01,1000.0,"Common reed grass, phragmites",25095050.0,25160619.0
2019-08-01,10000.0,Knotweed (species unknown),70620.0,25170619.0
2019-08-01,1100.0,"Common reed grass, phragmites",25096150.0,25171719.0
2019-08-01,10.0,Purple Loosestrife,2260.0,25171729.0
2019-08-01,10.0,"Tree-of-heaven, Ailanthus",2696.0,25171739.0
2019-08-01,50.0,Purple Loosestrife,2310.0,25171789.0
2019-08-01,100.0,Knotweed (species unknown),70720.0,25171889.0
2019-08-01,1000000.0,"Common reed grass, phragmites",26096150.0,26171889.0
2019-08-01,1000.0,Purple Loosestrife,3310.0,26172889.0
2019-08-01,500.0,"Common reed grass, phragmites",26096650.0,26173389.0
2019-08-01,500.0,"Common reed grass, phragmites",26097150.0,26173889.0
2019-08-01,3.0,"Tree-of-heaven, Ailanthus",2699.0,26173892.0
2019-08-01,10000.0,"Common reed grass, phragmites",26107150.0,26183892.0
2019-08-01,15.0,"Tree-of-heaven, Ailanthus",2714.0,26183907.0
2019-08-01,30.0,"Tree-of-heaven, Ailanthus",2744.0,26183937.0
2019-08-01,100.0,"Common reed grass, phragmites",26107250.0,26184037.0
2019-08-01,300.0,"Common reed grass, phragmites",26107550.0,26184337.0
2019-08-01,50.0,"Tree-of-heaven, Ailanthus",2794.0,26184387.0
2019-08-01,1000.0,"Common reed grass, phragmites",26108550.0,26185387.0
2019-08-01,10000.0,"Common reed grass, phragmites",26118550.0,26195387.0
2019-08-01,1000.0,"Common reed grass, phragmites",26119550.0,26196387.0
2019-08-01,10.0,"Tree-of-heaven, Ailanthus",2804.0,26196397.0
2019-08-01,100.0,Knotweed (species unknown),70820.0,26196497.0
2019-08-01,30.0,"Tree-of-heaven, Ailanthus",2834.0,26196527.0
